Wilayah;Tahun;Perkotaan_Perdesaan;Sumber_Air;Total_WERT
Cianjur;2020;Perdesaan;Leding;3010,440704
Cianjur;2020;Perkotaan;Leding;24505,64931
Cianjur;2020;Perdesaan;Mata air tak terlindung;23692,11497
Cianjur;2020;Perkotaan;Mata air tak terlindung;4416,257996
Cianjur;2020;Perdesaan;Mata air terlindung;49253,73329
Cianjur;2020;Perkotaan;Mata air terlindung;31556,66269
Cianjur;2020;Perdesaan;Sumur bor/pompa;47967,34798
Cianjur;2020;Perkotaan;Sumur bor/pompa;67006,95903
Cianjur;2020;Perdesaan;Sumur tak terlindung;23270,21875
Cianjur;2020;Perkotaan;Sumur tak terlindung;17281,5885
Cianjur;2020;Perdesaan;Sumur terlindung;143093,1126
Cianjur;2020;Perkotaan;Sumur terlindung;52623,74321
Cianjur;2021;Perdesaan;Air isi ulang;28944,40558
Cianjur;2021;Perkotaan;Air isi ulang;86673,84297
Cianjur;2021;Perdesaan;Air kemasan bermerk;2767,987854
Cianjur;2021;Perkotaan;Air kemasan bermerk;17053,57376
Cianjur;2021;Perdesaan;Air permukaan;3729,511299
Cianjur;2021;Perdesaan;Leding;3424,348145
Cianjur;2021;Perkotaan;Leding;9867,037689
Cianjur;2021;Perdesaan;Mata air tak terlindung;35583,34352
