Wilayah;Tahun;Perkotaan_Perdesaan;Kondisi;Status;total_WERT
Bekasi;2021;Perkotaan;Keruh;Tidak;1018390,041
Bekasi;2022;Perkotaan;Keruh;Tidak;1033168,459
Bekasi;2023;Perkotaan;Keruh;Tidak;1044186,962
Bogor;2022;Perdesaan;Berasa;Ya;4496,601092
Bogor;2023;Perdesaan;Berasa;Ya;148,7028157
Bogor;2019;Perkotaan;Berasa;Ya;14303,40918
Bogor;2020;Perkotaan;Berasa;Ya;19946,07489
Bogor;2021;Perkotaan;Berasa;Ya;19561,33226
Bogor;2022;Perkotaan;Berasa;Ya;33652,01217
Bogor;2023;Perkotaan;Berasa;Ya;19834,65141
Bogor;2019;Perdesaan;Berasa;Tidak;143839,9443
Bogor;2020;Perdesaan;Berasa;Tidak;151693,0075
Bogor;2021;Perdesaan;Berasa;Tidak;119463,4882
Bogor;2022;Perdesaan;Berasa;Tidak;111596,2389
Bogor;2023;Perdesaan;Berasa;Tidak;84926,82494
Bogor;2019;Perkotaan;Berasa;Tidak;1366973,555
Bogor;2020;Perkotaan;Berasa;Tidak;1372414,805
Bogor;2021;Perkotaan;Berasa;Tidak;1513067,592
Bogor;2022;Perkotaan;Berasa;Tidak;1516620,787
Bogor;2023;Perkotaan;Berasa;Tidak;1396584,761
Bogor;2019;Perdesaan;Berbau;Ya;1131,950306
Bogor;2022;Perdesaan;Berbau;Ya;2585,291258
Bogor;2023;Perdesaan;Berbau;Ya;426,5864205
Bogor;2019;Perkotaan;Berbau;Ya;16594,81299
Bogor;2020;Perkotaan;Berbau;Ya;10077,2533
Bogor;2021;Perkotaan;Berbau;Ya;32297,39488
Bogor;2022;Perkotaan;Berbau;Ya;50302,14221
Bogor;2023;Perkotaan;Berbau;Ya;17090,59375
Bogor;2019;Perdesaan;Berbau;Tidak;142707,994
Bogor;2020;Perdesaan;Berbau;Tidak;151693,0075
Bogor;2021;Perdesaan;Berbau;Tidak;119463,4882
Bogor;2022;Perdesaan;Berbau;Tidak;113507,5487
Bogor;2023;Perdesaan;Berbau;Tidak;84648,94133
Bogor;2019;Perkotaan;Berbau;Tidak;1364682,152
Bogor;2020;Perkotaan;Berbau;Tidak;1382283,627
Bogor;2021;Perkotaan;Berbau;Tidak;1500331,529
Bogor;2022;Perkotaan;Berbau;Tidak;1499970,657
Bogor;2023;Perkotaan;Berbau;Tidak;1399328,819
Bogor;2019;Perdesaan;Berbusa;Ya;38,98445892
Bogor;2022;Perdesaan;Berbusa;Ya;2128,965301
Bogor;2019;Perkotaan;Berbusa;Ya;7448,573486
Bogor;2020;Perkotaan;Berbusa;Ya;3550,280396
Bogor;2021;Perkotaan;Berbusa;Ya;5673,630432
Bogor;2022;Perkotaan;Berbusa;Ya;20747,04083
Bogor;2023;Perkotaan;Berbusa;Ya;9634,259466
Bogor;2019;Perdesaan;Berbusa;Tidak;143800,9598
Bogor;2020;Perdesaan;Berbusa;Tidak;151693,0075
Bogor;2021;Perdesaan;Berbusa;Tidak;119463,4882
Bogor;2022;Perdesaan;Berbusa;Tidak;113963,8747
Bogor;2023;Perdesaan;Berbusa;Tidak;85075,52775
Bogor;2019;Perkotaan;Berbusa;Tidak;1373828,391
Bogor;2020;Perkotaan;Berbusa;Tidak;1388810,599
Bogor;2021;Perkotaan;Berbusa;Tidak;1526955,293
Bogor;2022;Perkotaan;Berbusa;Tidak;1529525,758
Bogor;2023;Perkotaan;Berbusa;Tidak;1406785,153
Bogor;2019;Perdesaan;Berwarna;Ya;1092,965847
Bogor;2022;Perdesaan;Berwarna;Ya;2493,421586
Bogor;2023;Perdesaan;Berwarna;Ya;357,8569678
Bogor;2019;Perkotaan;Berwarna;Ya;24994,0741
Bogor;2020;Perkotaan;Berwarna;Ya;13917,92755
Bogor;2021;Perkotaan;Berwarna;Ya;12003,41367
Bogor;2022;Perkotaan;Berwarna;Ya;50327,2895
Bogor;2023;Perkotaan;Berwarna;Ya;24563,89007
Bogor;2019;Perdesaan;Berwarna;Tidak;142746,9785
Bogor;2020;Perdesaan;Berwarna;Tidak;151693,0075
Bogor;2021;Perdesaan;Berwarna;Tidak;119463,4882
Bogor;2022;Perdesaan;Berwarna;Tidak;113599,4184
Bogor;2023;Perdesaan;Berwarna;Tidak;84717,67079
Bogor;2019;Perkotaan;Berwarna;Tidak;1356282,891
Bogor;2020;Perkotaan;Berwarna;Tidak;1378442,952
Bogor;2021;Perkotaan;Berwarna;Tidak;1520625,51
Bogor;2022;Perkotaan;Berwarna;Tidak;1499945,51
Bogor;2023;Perkotaan;Berwarna;Tidak;1391855,522
Bogor;2019;Perdesaan;Keruh;Ya;1107,903103
Bogor;2020;Perdesaan;Keruh;Ya;1484,047119
Bogor;2021;Perdesaan;Keruh;Ya;5304,727642
